,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
192,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
193,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
194,No,No,No,Si,No,No,No,Medio bajo,Urbano
195,Si,No,No,Si,No,No,No,Medio bajo,Urbano
196,Si,No,No,Si,No,No,No,Medio bajo,Urbano
197,Si,No,No,Si,No,No,No,Medio bajo,Urbano
198,No,No,Si,Si,No,No,No,Medio bajo,Rural
199,No,No,No,Si,No,Si,Si,Medio bajo,Rural
200,No,No,Si,Si,No,No,No,Medio bajo,Rural
201,No,Si,Si,Si,No,No,Si,Medio bajo,Rural
202,Si,Si,No,No,No,No,No,Medio bajo,Rural
203,Si,No,No,Si,No,No,Si,Medio bajo,Rural
204,Si,Si,No,Si,No,No,Si,Medio alto,Urbano
205,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
206,No,No,Si,Si,No,No,Si,Medio alto,Urbano
207,Si,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
208,Si,Si,No,Si,Si,No,Si,Medio alto,Urbano
209,No,No,No,Si,No,No,Si,Medio alto,Urbano
210,No,No,Si,Si,No,No,Si,Medio alto,Urbano
211,Si,Si,No,Si,No,No,Si,Bajo,Urbano
212,No,No,Si,Si,No,Si,Si,Bajo,Urbano
213,No,No,Si,Si,No,No,Si,Bajo,Urbano
214,No,No,Si,Si,No,Si,Si,Bajo,Urbano
215,No,No,Si,Si,No,No,Si,Medio alto,Urbano
216,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
217,Si,No,No,Si,No,Si,Si,Medio alto,Urbano
218,No,Si,Si,No,No,No,No,Bajo,Rural
219,No,No,Si,Si,No,No,No,Bajo,Rural
220,No,No,Si,Si,No,No,No,Bajo,Rural
221,Si,Si,No,Si,No,No,No,Bajo,Rural
222,No,No,Si,Si,No,Si,Si,Alto,Urbano
223,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
224,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
225,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
226,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
227,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
228,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
229,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
230,No,No,Si,Si,No,No,Si,Medio alto,Urbano
231,No,No,Si,Si,No,No,Si,Medio alto,Urbano
232,No,No,Si,Si,No,No,Si,Alto,Urbano
233,No,No,Si,Si,No,No,No,Alto,Urbano
234,No,No,Si,Si,Si,Si,Si,Alto,Urbano
235,No,No,Si,Si,No,No,No,Alto,Urbano
236,No,No,Si,Si,No,Si,Si,Alto,Urbano
237,No,No,Si,Si,No,No,Si,Alto,Urbano
238,No,No,Si,Si,No,Si,Si,Alto,Urbano
239,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
240,Si,No,No,Si,No,No,No,Medio bajo,Urbano
241,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
242,No,No,Si,Si,No,No,No,Medio alto,Urbano
